exp_id,steps_per_second,episode_length_mean,episode_length_std,episode_length_min,episode_length_max,episode_return_mean,episode_return_std,episode_return_min,episode_return_max
1,18952.347,1000.000,0.000,1000.000,1000.000,4494.910,326.391,250.602,5130.835
2,18675.247,1000.000,0.000,1000.000,1000.000,1044.596,207.236,-216.488,1586.076
3,5199.321,1000.000,0.000,1000.000,1000.000,5871.237,139.682,5352.458,6280.117
4,2025.362,1000.000,0.000,1000.000,1000.000,5782.287,153.445,3687.143,6125.690
5,2006.298,1000.000,0.000,1000.000,1000.000,3351.230,232.158,844.306,3925.722
6,2060.286,1000.000,0.000,1000.000,1000.000,6033.928,122.712,5510.425,6394.94
7,2087.790,1000.000,0.000,1000.000,1000.000,6098.233,115.603,5710.846,6504.033
8,2088.626,1000.000,0.000,1000.000,1000.000,4027.156,249.411,840.940,4589.321
9,2014.709,1000.000,0.000,1000.000,1000.000,6118.521,123.406,4475.736,6487.177
10,2059.892,1000.000,0.000,1000.000,1000.000,5928.376,118.004,5345.098,6395.345
11,2028.397,1000.000,0.000,1000.000,1000.000,6119.628,117.480,4813.749,6425.150
12,2039.231,1000.000,0.000,1000.000,1000.000,6244.297,113.779,5810.170,6626.829
