exp_id,steps_per_second,episode_length_mean,episode_length_std,episode_length_min,episode_length_max,episode_return_mean,episode_return_std,episode_return_min,episode_return_max
1,5816.793,1000.000,0.000,1000,1000,4462.778,360.464,1142.783,5070.226
2,5808.822,1000.000,0.000,1000,1000,564.525,343.436,-487.163,1185.261
3,1695.800,1000.000,0.000,1000,1000,5846.754,169.419,4284.417,6187.871
4,1122.948,1000.000,0.000,1000,1000,5739.834,132.038,5363.498,6067.505
5,1182.298,1000.000,0.000,1000,1000,3336.387,216.607,2337.067,3922.531
6,1158.797,1000.000,0.000,1000,1000,5986.105,139.142,4985.628,6345.083
7,1190.389,1000.000,0.000,1000,1000,6022.397,124.238,5660.768,6429.640
8,1195.012,1000.000,0.000,1000,1000,4019.996,194.574,3465.917,4492.668
9,1099.231,1000.000,0.000,1000,1000,6044.550,125.494,5625.524,6405.463
10,1160.077,1000.000,0.000,1000,1000,5868.321,120.851,5543.678,6171.370
11,1142.979,1000.000,0.000,1000,1000,6054.729,125.167,5722.046,6412.595
12,1196.800,1000.000,0.000,1000,1000,6156.006,133.685,5069.322,6458.205
