exp_id,env,total_num_envs,total_timesteps,num_particles,search_depth,resampling_mode,ess_threshold,period,use_residual,total_batch_size,rollout_length,actor_lr,critic_lr,gamma,gae_lambda,timestep
1,brax/halfcheetah,128,5000000,16,8,ess,0.5,,false,64,32,0.0003,0.0003,0.99,0.95,4997120
2,brax/halfcheetah,128,5000000,16,8,period,,2,false,64,32,0.0003,0.0003,0.99,0.95,4997120
3,brax/halfcheetah,128,5000000,64,32,ess,0.5,,false,64,32,0.0003,0.0003,0.99,0.95,4997120
4,brax/halfcheetah,128,3000000,160,32,ess,0.7,,false,64,32,0.0003,0.0003,0.99,0.95,1179648
5,brax/halfcheetah,128,3000000,160,32,period,,4,false,64,32,0.0003,0.0003,0.99,0.95,1179648
6,brax/halfcheetah,128,3000000,160,32,ess,0.5,,false,64,32,0.0003,0.0003,0.99,0.95,1179648
7,brax/halfcheetah,128,3000000,160,32,ess,0.3,,false,64,32,0.0003,0.0003,0.99,0.95,1179648
8,brax/halfcheetah,128,3000000,160,32,period,,4,true,64,32,0.0003,0.0003,0.99,0.95,1179648
9,brax/halfcheetah,128,3000000,160,32,ess,0.5,,true,64,32,0.0003,0.0003,0.99,0.95,1179648
10,brax/halfcheetah,128,3000000,160,32,ess,0.7,,true,64,32,0.0003,0.0003,0.99,0.95,1179648
11,brax/halfcheetah,128,3000000,160,32,ess,0.3,,true,64,32,0.0003,0.0003,0.99,0.95,1179648
12,brax/halfcheetah,128,3000000,160,32,period,,33,true,64,32,0.0003,0.0003,0.99,0.95,1179648
