exp_id,steps_per_second,episode_length_mean,episode_length_std,episode_length_min,episode_length_max,episode_return_mean,episode_return_std,episode_return_min,episode_return_max
1,6813.743,1000.000,0.000,1000.000,1000.000,4446.732,230.767,3644.897,4955.439
2,6787.715,1000.000,0.000,1000.000,1000.000,580.627,305.542,-454.309,1132.327
3,1299.056,1000.000,0.000,1000.000,1000.000,5874.823,147.173,5499.353,6228.592
4,1207.254,1000.000,0.000,1000.000,1000.000,4216.547,156.252,3796.127,4557.354
5,1198.894,1000.000,0.000,1000.000,1000.000,3007.198,188.336,2507.048,3469.363
6,1207.069,1000.000,0.000,1000.000,1000.000,4444.281,161.591,3939.781,4836.816
7,1202.395,1000.000,0.000,1000.000,1000.000,4375.393,147.235,4032.307,4735.355
8,1185.606,1000.000,0.000,1000.000,1000.000,3490.888,195.047,2969.984,4018.467
9,1205.059,1000.000,0.000,1000.000,1000.000,4400.549,161.667,3886.797,4751.649
10,1172.076,1000.000,0.000,1000.000,1000.000,4282.894,170.513,3823.060,4721.357
11,1174.254,1000.000,0.000,1000.000,1000.000,4459.846,163.228,3902.271,4797.210
12,1168.375,1000.000,0.000,1000.000,1000.000,4541.379,171.634,3929.763,4930.405
