exp_id,timestep,steps_per_second_actor,episode_length_mean_actor,episode_length_std_actor,episode_length_min_actor,episode_length_max_actor,episode_return_mean_actor,episode_return_std_actor,episode_return_min_actor,episode_return_max_actor,steps_per_second_eval,episode_length_mean_eval,episode_length_std_eval,episode_length_min_eval,episode_length_max_eval,episode_return_mean_eval,episode_return_std_eval,episode_return_min_eval,episode_return_max_eval,adaptive_temperature_trainer,alpha_mean_trainer,alpha_stddev_trainer,kl_mean_trainer,kl_stddev_trainer,kl_nonparametric_trainer,kl_nonparametric_relative_trainer,loss_alpha_mean_trainer,loss_alpha_stddev_trainer,loss_kl_mean_trainer,loss_kl_stddev_trainer,loss_policy_mean_trainer,loss_policy_stddev_trainer,loss_temperature_trainer,steps_per_second_trainer,value_loss_trainer,value_pred_mean_trainer,value_pred_std_trainer,entropy_depth,ess_fraction_depth,mean_td_weights_depth,particles_alive_depth,resample_depth
10,147456,801.295,1000.000,0.000,1000,1000,470.806,96.544,80.684,640.074,889.244,1000.000,0.000,1000.000,1000.000,576.072,97.396,335.111,801.126,12.232,7.698,497.749,0.000,0.000,0.367,1.833,2.309,1.493,0.001,0.000,3.885,3.885,10.942,25.040,14.576,30.091,6.535,"[5.067, 5.059, 5.053, 5.046, 5.04, 5.033, 5.025, 5.016, 5.007, 4.997, 4.987, 4.976, 4.967, 4.959, 4.954, 4.953, 4.956, 4.961, 4.969, 4.976, 4.983, 4.986, 4.987, 4.984, 4.981, 4.976, 4.972, 4.969, 4.967, 4.967, 4.967, 4.968]","[0.983, 0.969, 0.956, 0.944, 0.932, 0.919, 0.904, 0.889, 0.872, 0.855, 0.837, 0.82, 0.805, 0.793, 0.786, 0.786, 0.791, 0.801, 0.814, 0.826, 0.836, 0.841, 0.841, 0.837, 0.83, 0.823, 0.816, 0.811, 0.809, 0.808, 0.809, 0.811]","[0.461, 0.811, 1.113, 1.395, 1.658, 1.896, 2.104, 2.29, 2.459, 2.609, 2.735, 2.827, 2.866, 2.838, 2.713, 2.495, 2.195, 1.83, 1.445, 1.109, 0.844, 0.67, 0.581, 0.554, 0.566, 0.586, 0.599, 0.607, 0.6, 0.583, 0.563, 0.538]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.003, 0.006, 0.012, 0.022, 0.036, 0.058, 0.08, 0.1, 0.117, 0.123, 0.116, 0.104, 0.085, 0.068, 0.054, 0.048, 0.048, 0.052, 0.059, 0.067, 0.075, 0.08, 0.084, 0.087]"
10,294912,1159.318,1000.000,0.000,1000,1000,693.813,102.750,406.909,976.606,1205.882,1000.000,0.000,1000.000,1000.000,1138.074,162.071,631.615,1539.759,16.283,3.214,493.249,0.000,0.000,0.306,1.530,0.963,1.480,0.001,0.000,3.846,3.847,16.985,36.229,22.162,59.902,8.195,"[5.066, 5.057, 5.049, 5.042, 5.036, 5.028, 5.021, 5.012, 5.004, 4.996, 4.988, 4.98, 4.972, 4.966, 4.962, 4.959, 4.959, 4.961, 4.966, 4.971, 4.977, 4.982, 4.984, 4.986, 4.985, 4.983, 4.979, 4.976, 4.973, 4.971, 4.969, 4.969]","[0.982, 0.965, 0.949, 0.935, 0.922, 0.908, 0.894, 0.879, 0.864, 0.849, 0.835, 0.821, 0.809, 0.8, 0.793, 0.79, 0.791, 0.796, 0.804, 0.814, 0.824, 0.831, 0.835, 0.837, 0.834, 0.83, 0.824, 0.819, 0.814, 0.81, 0.808, 0.808]","[0.701, 1.253, 1.756, 2.245, 2.717, 3.161, 3.571, 3.944, 4.285, 4.585, 4.835, 5.031, 5.145, 5.164, 5.072, 4.863, 4.519, 4.083, 3.57, 3.053, 2.581, 2.204, 1.95, 1.803, 1.758, 1.778, 1.838, 1.907, 1.96, 1.992, 1.995, 1.971]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.006, 0.009, 0.014, 0.019, 0.027, 0.038, 0.049, 0.064, 0.079, 0.092, 0.103, 0.105, 0.103, 0.093, 0.08, 0.068, 0.056, 0.049, 0.045, 0.046, 0.05, 0.056, 0.063, 0.07, 0.074]"
10,442368,1160.334,1000.000,0.000,1000,1000,1362.860,151.907,1046.709,1774.995,1208.219,1000.000,0.000,1000.000,1000.000,2431.259,215.488,1648.891,2938.809,21.602,0.490,488.749,0.000,0.000,0.552,2.758,0.146,1.466,0.001,0.000,3.638,3.639,37.656,36.260,57.230,123.260,13.874,"[5.059, 5.043, 5.029, 5.017, 5.005, 4.993, 4.982, 4.971, 4.962, 4.955, 4.95, 4.947, 4.945, 4.945, 4.946, 4.948, 4.948, 4.949, 4.949, 4.948, 4.948, 4.948, 4.948, 4.948, 4.948, 4.948, 4.949, 4.949, 4.949, 4.949, 4.949, 4.949]","[0.968, 0.939, 0.913, 0.89, 0.87, 0.85, 0.831, 0.813, 0.799, 0.788, 0.78, 0.775, 0.773, 0.774, 0.776, 0.779, 0.78, 0.781, 0.781, 0.78, 0.779, 0.779, 0.779, 0.779, 0.779, 0.78, 0.78, 0.78, 0.78, 0.78, 0.781, 0.78]","[1.637, 3.019, 4.317, 5.571, 6.771, 7.881, 8.847, 9.579, 10.038, 10.185, 10.05, 9.619, 8.886, 7.904, 6.794, 5.736, 4.822, 4.101, 3.584, 3.259, 3.047, 2.857, 2.71, 2.583, 2.484, 2.416, 2.363, 2.337, 2.324, 2.312, 2.289, 2.291]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.0, 0.002, 0.005, 0.01, 0.019, 0.036, 0.055, 0.076, 0.092, 0.106, 0.119, 0.129, 0.135, 0.132, 0.127, 0.124, 0.119, 0.116, 0.114, 0.118, 0.12, 0.12, 0.119, 0.119, 0.118, 0.117, 0.117, 0.116, 0.117, 0.115, 0.118]"
10,589824,1156.655,1000.000,0.000,1000,1000,2376.705,217.739,1038.511,2860.535,1205.751,1000.000,0.000,1000.000,1000.000,3050.701,165.005,2580.484,3464.978,26.345,0.051,484.249,0.000,0.000,0.494,2.468,0.015,1.452,0.000,0.000,3.256,3.256,72.059,36.145,62.509,230.055,15.980,"[5.064, 5.054, 5.044, 5.035, 5.027, 5.018, 5.008, 4.999, 4.989, 4.979, 4.971, 4.963, 4.956, 4.951, 4.947, 4.946, 4.946, 4.948, 4.95, 4.953, 4.955, 4.957, 4.958, 4.958, 4.957, 4.955, 4.954, 4.952, 4.951, 4.95, 4.949, 4.949]","[0.978, 0.959, 0.942, 0.926, 0.911, 0.897, 0.881, 0.866, 0.851, 0.836, 0.823, 0.811, 0.801, 0.793, 0.789, 0.786, 0.787, 0.789, 0.792, 0.796, 0.799, 0.802, 0.803, 0.802, 0.801, 0.799, 0.796, 0.794, 0.792, 0.791, 0.79, 0.791]","[2.816, 5.259, 7.63, 9.938, 12.187, 14.367, 16.487, 18.551, 20.532, 22.394, 24.048, 25.478, 26.574, 27.269, 27.465, 27.11, 26.142, 24.745, 22.987, 20.955, 18.789, 16.751, 15.085, 13.781, 12.853, 12.335, 12.068, 11.952, 11.938, 11.879, 11.814, 11.671]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.007, 0.012, 0.02, 0.028, 0.039, 0.05, 0.062, 0.075, 0.087, 0.093, 0.097, 0.099, 0.098, 0.093, 0.086, 0.08, 0.078, 0.073, 0.073, 0.076, 0.077, 0.08, 0.082, 0.086, 0.087]"
10,737280,1157.664,1000.000,0.000,1000,1000,2994.406,165.883,2598.607,3390.345,1208.500,1000.000,0.000,1000.000,1000.000,3467.559,170.219,2995.387,3875.663,29.912,0.007,479.749,0.000,0.000,0.308,1.542,0.002,1.439,0.000,0.000,2.969,2.969,95.226,36.177,55.433,304.009,13.295,"[5.068, 5.062, 5.056, 5.051, 5.045, 5.039, 5.033, 5.026, 5.019, 5.012, 5.005, 4.997, 4.989, 4.981, 4.974, 4.966, 4.959, 4.952, 4.948, 4.945, 4.944, 4.945, 4.948, 4.953, 4.959, 4.965, 4.971, 4.975, 4.977, 4.977, 4.976, 4.973]","[0.987, 0.975, 0.964, 0.954, 0.944, 0.933, 0.923, 0.912, 0.901, 0.889, 0.878, 0.866, 0.854, 0.842, 0.83, 0.819, 0.808, 0.799, 0.792, 0.788, 0.787, 0.789, 0.794, 0.801, 0.809, 0.818, 0.826, 0.832, 0.834, 0.835, 0.832, 0.828]","[3.523, 6.632, 9.66, 12.628, 15.536, 18.385, 21.185, 23.946, 26.668, 29.357, 32.015, 34.634, 37.208, 39.712, 42.136, 44.41, 46.465, 48.181, 49.328, 49.794, 49.42, 48.083, 45.72, 42.419, 38.559, 34.395, 30.428, 26.933, 24.264, 22.402, 21.43, 21.223]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.002, 0.002, 0.003, 0.005, 0.006, 0.009, 0.014, 0.02, 0.03, 0.041, 0.054, 0.067, 0.08, 0.09, 0.094, 0.094, 0.087, 0.078, 0.064, 0.054, 0.043, 0.035, 0.032]"
10,884736,1156.555,1000.000,0.000,1000,1000,3407.735,160.776,3005.876,3876.434,1206.090,1000.000,0.000,1000.000,1000.000,3758.618,187.708,3159.990,4269.219,33.406,0.001,475.249,0.000,0.000,0.238,1.191,0.000,1.425,0.000,0.000,2.748,2.747,109.351,36.142,51.522,350.634,12.878,"[5.07, 5.066, 5.062, 5.058, 5.053, 5.049, 5.045, 5.04, 5.035, 5.03, 5.024, 5.018, 5.012, 5.006, 4.999, 4.993, 4.986, 4.979, 4.972, 4.966, 4.959, 4.954, 4.949, 4.946, 4.944, 4.944, 4.946, 4.949, 4.954, 4.96, 4.967, 4.973]","[0.991, 0.982, 0.974, 0.966, 0.959, 0.952, 0.944, 0.935, 0.927, 0.918, 0.909, 0.9, 0.89, 0.88, 0.87, 0.859, 0.849, 0.838, 0.828, 0.818, 0.809, 0.801, 0.795, 0.79, 0.788, 0.788, 0.791, 0.797, 0.804, 0.813, 0.823, 0.831]","[3.906, 7.391, 10.794, 14.14, 17.438, 20.693, 23.903, 27.075, 30.222, 33.353, 36.462, 39.553, 42.61, 45.642, 48.648, 51.615, 54.527, 57.373, 60.099, 62.683, 65.019, 67.015, 68.475, 69.326, 69.237, 68.057, 65.88, 62.706, 58.661, 53.943, 48.932, 44.091]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.003, 0.005, 0.008, 0.011, 0.015, 0.022, 0.03, 0.04, 0.052, 0.062, 0.071, 0.078, 0.081, 0.081, 0.077, 0.071]"
10,1032192,1157.397,1000.000,0.000,1000,1000,3769.683,200.958,3172.888,4296.842,1208.439,1000.000,0.000,1000.000,1000.000,4066.145,149.561,3605.757,4437.447,35.424,0.000,470.749,0.000,0.000,0.201,1.007,0.000,1.412,0.000,0.000,2.559,2.558,120.393,36.169,49.148,380.638,12.926,"[5.071, 5.067, 5.064, 5.06, 5.057, 5.053, 5.05, 5.046, 5.041, 5.037, 5.032, 5.027, 5.022, 5.017, 5.011, 5.005, 4.999, 4.993, 4.987, 4.981, 4.975, 4.969, 4.963, 4.957, 4.952, 4.948, 4.945, 4.943, 4.943, 4.945, 4.948, 4.953]","[0.992, 0.985, 0.978, 0.972, 0.966, 0.959, 0.953, 0.946, 0.939, 0.931, 0.923, 0.915, 0.907, 0.898, 0.89, 0.881, 0.871, 0.862, 0.853, 0.844, 0.835, 0.826, 0.817, 0.809, 0.802, 0.796, 0.792, 0.79, 0.79, 0.793, 0.798, 0.806]","[4.211, 7.96, 11.663, 15.308, 18.899, 22.436, 25.932, 29.395, 32.832, 36.239, 39.622, 42.979, 46.315, 49.627, 52.91, 56.164, 59.388, 62.569, 65.704, 68.774, 71.762, 74.638, 77.373, 79.84, 81.918, 83.532, 84.353, 84.236, 83.121, 80.915, 77.56, 73.119]","[1.0, 0.998, 0.997, 0.995, 0.993, 0.991, 0.99, 0.988, 0.986, 0.984, 0.983, 0.981, 0.979, 0.977, 0.976, 0.974, 0.972, 0.97, 0.969, 0.967, 0.965, 0.964, 0.962, 0.96, 0.958, 0.957, 0.955, 0.953, 0.951, 0.95, 0.948, 0.946]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.002, 0.003, 0.003, 0.004, 0.005, 0.007, 0.01, 0.014, 0.019, 0.027, 0.035, 0.044, 0.053, 0.062, 0.07, 0.075]"
10,1179648,1158.063,1000.000,0.000,1000,1000,4142.355,166.373,3767.810,4484.789,1205.684,1000.000,0.000,1000.000,1000.000,4244.984,384.535,559.723,4632.516,35.322,0.000,466.249,0.000,0.000,0.199,0.996,0.000,1.398,0.000,0.000,2.370,2.369,129.447,36.189,49.944,408.923,13.298,"[5.071, 5.067, 5.064, 5.06, 5.057, 5.053, 5.049, 5.046, 5.042, 5.037, 5.033, 5.028, 5.023, 5.018, 5.012, 5.006, 5.001, 4.995, 4.989, 4.982, 4.976, 4.97, 4.964, 4.958, 4.953, 4.948, 4.945, 4.942, 4.941, 4.942, 4.945, 4.949]","[0.992, 0.985, 0.978, 0.972, 0.965, 0.959, 0.953, 0.946, 0.939, 0.932, 0.925, 0.917, 0.909, 0.9, 0.892, 0.883, 0.874, 0.864, 0.855, 0.846, 0.837, 0.828, 0.819, 0.811, 0.803, 0.797, 0.792, 0.789, 0.788, 0.79, 0.794, 0.8]","[4.554, 8.628, 12.66, 16.635, 20.553, 24.426, 28.261, 32.072, 35.853, 39.61, 43.341, 47.052, 50.745, 54.41, 58.045, 61.653, 65.225, 68.746, 72.222, 75.624, 78.95, 82.171, 85.221, 88.024, 90.49, 92.404, 93.639, 93.948, 93.115, 91.089, 87.881, 83.529]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.002, 0.003, 0.004, 0.004, 0.005, 0.007, 0.01, 0.013, 0.018, 0.024, 0.032, 0.042, 0.051, 0.059, 0.067, 0.073]"
10,1327104,1159.374,1000.000,0.000,1000,1000,4306.687,221.554,2613.997,4614.269,1208.179,1000.000,0.000,1000.000,1000.000,4491.693,159.029,4073.985,4975.477,34.881,0.000,461.749,0.000,0.000,0.198,0.990,0.000,1.385,0.000,0.000,2.186,2.185,137.064,36.230,47.266,433.515,15.217,"[5.072, 5.068, 5.064, 5.061, 5.058, 5.055, 5.051, 5.048, 5.044, 5.04, 5.036, 5.032, 5.027, 5.022, 5.017, 5.012, 5.006, 5.0, 4.995, 4.989, 4.983, 4.977, 4.97, 4.965, 4.959, 4.954, 4.949, 4.945, 4.942, 4.941, 4.941, 4.943]","[0.993, 0.986, 0.979, 0.974, 0.968, 0.963, 0.957, 0.951, 0.945, 0.938, 0.931, 0.924, 0.917, 0.909, 0.901, 0.892, 0.884, 0.875, 0.866, 0.857, 0.848, 0.839, 0.83, 0.822, 0.814, 0.806, 0.799, 0.794, 0.791, 0.789, 0.79, 0.794]","[4.779, 9.058, 13.279, 17.455, 21.587, 25.684, 29.745, 33.777, 37.788, 41.776, 45.738, 49.682, 53.602, 57.499, 61.365, 65.21, 69.022, 72.805, 76.541, 80.214, 83.838, 87.37, 90.784, 94.013, 97.003, 99.696, 101.882, 103.343, 103.993, 103.454, 101.793, 98.785]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.005, 0.005, 0.006, 0.007, 0.008, 0.009, 0.012, 0.014, 0.019, 0.025, 0.031, 0.04, 0.048, 0.057, 0.063]"
10,1474560,1158.559,1000.000,0.000,1000,1000,4543.079,159.284,4147.390,4940.177,1205.705,1000.000,0.000,1000.000,1000.000,4715.960,114.837,4357.798,5027.738,33.460,0.000,457.249,0.000,0.000,0.192,0.962,0.000,1.371,0.000,0.000,2.010,2.009,145.079,36.205,41.790,457.399,12.578,"[5.072, 5.068, 5.065, 5.061, 5.058, 5.055, 5.052, 5.048, 5.044, 5.04, 5.036, 5.032, 5.027, 5.022, 5.017, 5.011, 5.006, 5.0, 4.994, 4.988, 4.982, 4.976, 4.97, 4.964, 4.958, 4.953, 4.948, 4.944, 4.942, 4.941, 4.941, 4.943]","[0.993, 0.986, 0.98, 0.974, 0.969, 0.963, 0.957, 0.951, 0.945, 0.938, 0.931, 0.924, 0.917, 0.909, 0.901, 0.892, 0.883, 0.875, 0.866, 0.856, 0.847, 0.838, 0.83, 0.821, 0.813, 0.805, 0.799, 0.794, 0.791, 0.79, 0.791, 0.794]","[5.081, 9.647, 14.15, 18.6, 23.015, 27.393, 31.732, 36.039, 40.319, 44.573, 48.81, 53.022, 57.207, 61.368, 65.5, 69.597, 73.661, 77.681, 81.664, 85.572, 89.414, 93.163, 96.774, 100.194, 103.352, 106.104, 108.254, 109.615, 110.062, 109.358, 107.421, 104.214]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.993, 0.992, 0.991, 0.99, 0.99, 0.989, 0.988, 0.987, 0.986, 0.985, 0.984, 0.984, 0.983, 0.982, 0.981, 0.98, 0.979, 0.978, 0.977, 0.977, 0.976, 0.975, 0.974, 0.973]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.003, 0.003, 0.004, 0.005, 0.006, 0.008, 0.01, 0.013, 0.018, 0.024, 0.031, 0.039, 0.047, 0.055, 0.062]"
