exp_id,steps_per_second,episode_length_mean,episode_length_std,episode_length_min,episode_length_max,episode_return_mean,episode_return_std,episode_return_min,episode_return_max
1,290.372,5.724,0.972,5.000,11.000,0.948,0.009,0.901,0.955
2,247.985,5.002,0.039,5.000,6.000,0.955,0.000,0.946,0.955
3,530.279,11.812,2.650,7.000,23.000,0.957,0.010,0.917,0.975
4,523.452,11.394,2.684,7.000,22.000,0.959,0.010,0.921,0.975
5,989.832,22.341,11.145,9.000,208.000,0.969,0.016,0.707,0.987
6,1136.667,26.377,20.365,9.000,327.000,0.963,0.029,0.540,0.987
7,67327.946,2559.631,13.188,2088.000,2560.000,0.000,0.007,0.000,0.266
8,1140.405,24.779,18.779,9.000,336.000,0.965,0.026,0.528,0.987
9,18595.350,419.914,241.889,17.000,640.000,0.357,0.388,0.000,0.976
10,24748.174,541.949,187.244,25.000,640.000,0.161,0.304,0.000,0.965
11,1452.770,194.753,333.784,23.000,2560.000,0.931,0.124,0.000,0.992
12,3001.793,418.827,731.450,26.000,2560.000,0.844,0.282,0.000,0.991
13,16483.761,2546.738,141.423,351.000,2560.000,0.006,0.059,0.000,0.877
14,16907.118,2393.766,558.554,45.000,2560.000,0.067,0.224,0.000,0.984
15,17822.572,2555.256,85.956,728.000,2560.000,0.002,0.036,0.000,0.744
16,823.128,123.834,161.749,18.000,2560.000,0.956,0.059,0.000,0.994
17,1460.158,195.720,343.729,20.000,2560.000,0.930,0.127,0.000,0.993
18,1114.637,146.041,245.619,23.000,2560.000,0.948,0.093,0.000,0.992
19,2779.633,366.418,606.002,25.000,2560.000,0.866,0.231,0.000,0.991
20,1707.700,235.537,444.222,23.000,2560.000,0.914,0.171,0.000,0.992
