exp_id,steps_per_second,episode_length_mean,episode_length_std,episode_length_min,episode_length_max,episode_return_mean,episode_return_std,episode_return_min,episode_return_max
1,41016.440,5.762,0.991,5,14,0.948,0.009,0.874,0.955
2,43462.601,5.005,0.074,5,6,0.955,0.001,0.946,0.955
3,43617.788,11.859,2.666,7,28,0.957,0.010,0.899,0.975
4,42886.719,11.273,2.693,7,25,0.959,0.010,0.910,0.975
5,42470.925,22.931,17.018,7,640,0.968,0.025,0.000,0.990
6,42053.212,26.202,22.947,8,640,0.963,0.033,0.000,0.989
7,40107.804,2560.000,0.000,2560,2560,0.000,0.000,0.000,0.000
8,45214.902,23.550,15.191,8,334,0.967,0.021,0.530,0.989
9,44895.220,609.419,112.642,88,640,0.050,0.184,0.000,0.876
10,45388.938,640.000,0.000,640,640,0.000,0.000,0.000,0.000
11,3507.545,212.845,358.744,26,2560,0.924,0.134,0.000,0.991
12,2860.946,557.954,842.793,34,2560,0.792,0.326,0.000,0.988
13,3497.285,2560.000,0.000,2560,2560,0.000,0.000,0.000,0.000
14,3233.853,2381.037,607.297,59,2560,0.071,0.241,0.000,0.979
15,2834.603,2560.000,0.000,2560,2560,0.000,0.000,0.000,0.000
16,2667.711,130.186,191.636,25,2560,0.954,0.069,0.000,0.991
17,3041.193,425.081,759.348,28,2560,0.841,0.295,0.000,0.990
18,3558.427,159.651,259.830,26,2560,0.943,0.097,0.000,0.991
19,3543.360,351.252,582.941,27,2560,0.872,0.221,0.000,0.991
20,2918.369,257.995,444.754,30,2560,0.907,0.169,0.000,0.989
