exp_id,env,total_num_envs,total_timesteps,num_particles,search_depth,resampling_mode,ess_threshold,period,use_residual,total_batch_size,rollout_length,actor_lr,critic_lr,gamma,gae_lambda,timestep,steps_per_second,episode_length_mean,episode_length_std,episode_length_min,episode_length_max,episode_return_mean,episode_return_std,episode_return_min,episode_return_max,steps_per_second_eval,episode_length_mean_eval,episode_length_std_eval,episode_length_min_eval,episode_length_max_eval,episode_return_mean_eval,episode_return_std_eval,episode_return_min_eval,episode_return_max_eval,steps_per_second_actor,episode_length_mean_actor,episode_length_std_actor,episode_length_min_actor,episode_length_max_actor,episode_return_mean_actor,episode_return_std_actor,episode_return_min_actor,episode_return_max_actor,adaptive_temperature,alpha,kl_div,kl_nonparametric,kl_nonparametric_relative,loss_alpha,loss_dual,loss_kl_penalty,loss_policy,loss_temperature,steps_per_second_trainer,value_loss,value_pred_mean,value_pred_std,entropy_depth,ess_fraction_depth,mean_td_weights_depth,particles_alive_depth,resample_depth
1,xland_minigrid/empty_5x5,128,3000000,16,8,period,,2.0,False,64,32,0.0003,0.0003,0.99,0.95,2949120,290.372,5.724,0.972,5.0,11.0,0.948,0.009,0.901,0.955,18892.318,5.641,1.006,5.0,12.0,0.949,0.009,0.892,0.955,41016.44,5.762,0.991,5,14,0.948,0.009,0.874,0.955,0.609,0.0,0.0,0.5,1.0,0.0,1.528,0.0,0.543,1.528,1281.764,0.0,0.924,0.016,"[2.773, 2.773, 2.772, 2.773, 2.772, 2.773, 2.773, 2.773]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008, 0.014, 0.001, 0.005, -0.0, 0.001, -0.001, -0.001]","[1.0, 0.826, 0.653, 0.503, 0.359, 0.258, 0.155, 0.118]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
2,xland_minigrid/empty_5x5,128,3000000,16,8,ess,0.5,,False,64,32,0.0003,0.0003,0.99,0.95,2949120,247.985,5.002,0.039,5.0,6.0,0.955,0.0,0.946,0.955,22989.77,5.0,0.0,5.0,5.0,0.955,0.0,0.955,0.955,43462.601,5.005,0.074,5,6,0.955,0.001,0.946,0.955,0.012,0.0,0.0,0.501,1.003,0.0,0.946,0.0,0.019,0.946,1358.206,0.0,0.936,0.013,"[2.772, 2.772, 2.771, 2.771, 2.771, 2.771, 2.771, 2.771]","[0.999, 0.999, 0.998, 0.998, 0.998, 0.997, 0.997, 0.997]","[0.008, 0.013, 0.017, 0.019, 0.019, 0.019, 0.019, 0.019]","[1.0, 0.801, 0.601, 0.402, 0.202, 0.003, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,xland_minigrid/door_key_5x5,128,3000000,16,8,ess,0.5,,False,64,32,0.0003,0.0003,0.99,0.95,2949120,530.279,11.812,2.65,7.0,23.0,0.957,0.01,0.917,0.975,32493.021,12.016,2.798,7.0,19.0,0.957,0.01,0.932,0.975,43617.788,11.859,2.666,7,28,0.957,0.01,0.899,0.975,0.448,0.0,0.0,0.5,1.0,0.0,1.395,0.0,0.632,1.395,1363.056,0.0,0.903,0.034,"[2.773, 2.772, 2.772, 2.772, 2.772, 2.772, 2.772, 2.772]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008, 0.016, 0.023, 0.029, 0.034, 0.039, 0.043, 0.046]","[1.0, 0.916, 0.832, 0.748, 0.664, 0.579, 0.495, 0.411]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,xland_minigrid/door_key_5x5,128,3000000,16,8,period,,2.0,False,64,32,0.0003,0.0003,0.99,0.95,2949120,523.452,11.394,2.684,7.0,22.0,0.959,0.01,0.921,0.975,26746.529,11.469,2.931,7.0,21.0,0.959,0.011,0.924,0.975,42886.719,11.273,2.693,7,25,0.959,0.01,0.91,0.975,0.529,0.0,0.0,0.5,1.0,0.0,1.361,0.0,0.489,1.361,1340.21,0.0,0.907,0.035,"[2.773, 2.773, 2.772, 2.772, 2.772, 2.772, 2.772, 2.772]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.008, 0.016, 0.004, 0.011, 0.001, 0.007, 0.0, 0.004]","[1.0, 0.912, 0.823, 0.755, 0.686, 0.604, 0.536, 0.464]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
5,xland_minigrid/door_key_8x8,128,3000000,16,8,ess,0.5,,False,64,32,0.0003,0.0003,0.99,0.95,2949120,989.832,22.341,11.145,9.0,208.0,0.969,0.016,0.707,0.987,15474.3,23.273,12.721,11.0,120.0,0.967,0.018,0.831,0.985,42470.925,22.931,17.018,7,640,0.968,0.025,0.0,0.99,0.158,0.565,0.001,0.501,1.002,0.0,0.516,0.001,0.383,0.515,1327.216,0.001,0.849,0.074,"[2.77, 2.769, 2.768, 2.767, 2.767, 2.766, 2.766, 2.766]","[0.996, 0.993, 0.992, 0.99, 0.989, 0.988, 0.988, 0.987]","[0.007, 0.015, 0.022, 0.029, 0.036, 0.043, 0.05, 0.056]","[1.0, 0.956, 0.912, 0.869, 0.825, 0.781, 0.737, 0.693]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,xland_minigrid/door_key_8x8,128,3000000,16,8,period,,2.0,False,64,32,0.0003,0.0003,0.99,0.95,2949120,1136.667,26.377,20.365,9.0,327.0,0.963,0.029,0.54,0.987,10371.611,26.445,19.845,11.0,200.0,0.963,0.028,0.719,0.985,42053.212,26.202,22.947,8,640,0.963,0.033,0.0,0.989,0.215,1.756,0.001,0.501,1.001,0.0,0.469,0.002,0.455,0.469,1314.163,0.001,0.816,0.092,"[2.77, 2.769, 2.767, 2.764, 2.765, 2.762, 2.763, 2.76]","[0.995, 0.993, 0.989, 0.984, 0.985, 0.98, 0.982, 0.977]","[0.007, 0.014, 0.004, 0.011, 0.002, 0.009, 0.001, 0.006]","[1.0, 0.963, 0.922, 0.878, 0.848, 0.803, 0.774, 0.73]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
7,xland_minigrid/door_key_16x16,128,3000000,16,8,ess,0.5,,False,64,32,0.0003,0.0003,0.99,0.95,2949120,67327.946,2559.631,13.188,2088.0,2560.0,0.0,0.007,0.0,0.266,86567.681,2560.0,0.0,2560.0,2560.0,0.0,0.0,0.0,0.0,40107.804,2560.0,0.0,2560,2560,0.0,0.0,0.0,0.0,0.0,3.062,0.001,0.498,0.997,-0.0,-0.0,0.003,1.405,0.0,1253.369,0.0,0.0,0.001,"[2.602, 2.565, 2.546, 2.536, 2.527, 2.521, 2.515, 2.511]","[0.816, 0.779, 0.764, 0.753, 0.745, 0.74, 0.734, 0.73]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]","[1.0, 0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994]","[0.08, 0.102, 0.109, 0.114, 0.119, 0.122, 0.126, 0.128]"
8,xland_minigrid/door_key_8x8,128,3000000,4,8,ess,0.5,,False,64,32,0.0003,0.0003,0.99,0.95,2949120,1140.405,24.779,18.779,9.0,336.0,0.965,0.026,0.528,0.987,18418.382,23.93,13.344,12.0,121.0,0.966,0.019,0.83,0.983,45214.902,23.55,15.191,8,334,0.967,0.021,0.53,0.989,0.023,3.231,0.001,0.5,1.0,0.0,0.364,0.003,0.417,0.364,1412.966,0.001,0.844,0.071,"[1.314, 1.282, 1.263, 1.251, 1.241, 1.234, 1.233, 1.233]","[0.927, 0.895, 0.876, 0.863, 0.852, 0.845, 0.843, 0.843]","[0.007, 0.013, 0.018, 0.023, 0.027, 0.032, 0.035, 0.039]","[1.0, 0.959, 0.919, 0.877, 0.836, 0.794, 0.753, 0.712]","[0.039, 0.052, 0.06, 0.065, 0.071, 0.073, 0.072, 0.072]"
9,xland_minigrid/door_key_8x8,128,3000000,4,8,period,,2.0,False,64,32,0.0003,0.0003,0.99,0.95,2949120,18595.35,419.914,241.889,17.0,640.0,0.357,0.388,0.0,0.976,93556.304,611.969,111.246,81.0,640.0,0.046,0.18,0.0,0.886,44895.22,609.419,112.642,88,640,0.05,0.184,0.0,0.876,0.002,6.202,0.001,0.497,0.995,-0.0,0.001,0.006,0.997,0.001,1402.976,0.0,0.024,0.05,"[1.254, 1.209, 1.198, 1.162, 1.189, 1.151, 1.185, 1.147]","[0.894, 0.859, 0.851, 0.825, 0.845, 0.818, 0.842, 0.815]","[-0.0, -0.001, -0.001, -0.002, -0.001, -0.002, -0.002, -0.002]","[1.0, 0.998, 0.997, 0.995, 0.994, 0.992, 0.99, 0.988]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
10,xland_minigrid/door_key_8x8,128,3000000,4,8,ess,0.8,,False,64,32,0.0003,0.0003,0.99,0.95,2949120,24748.174,541.949,187.244,25.0,640.0,0.161,0.304,0.0,0.965,105756.146,640.0,0.0,640.0,640.0,0.0,0.0,0.0,0.0,45388.938,640.0,0.0,640,640,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.013,0.026,0.0,0.0,0.0,0.991,-0.0,1418.404,0.0,0.0,0.001,"[1.385, 1.384, 1.383, 1.383, 1.383, 1.384, 1.384, 1.384]","[0.999, 0.998, 0.998, 0.998, 0.998, 0.998, 0.998, 0.998]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]","[1.0, 0.998, 0.997, 0.995, 0.994, 0.992, 0.991, 0.989]","[0.004, 0.005, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006]"
