exp_id,steps_per_second,episode_length_mean,episode_length_std,episode_length_min,episode_length_max,episode_return_mean,episode_return_std,episode_return_min,episode_return_max
1,18892.318,5.641,1.006,5.000,12.000,0.949,0.009,0.892,0.955
2,22989.770,5.000,0.000,5.000,5.000,0.955,0.000,0.955,0.955
3,32493.021,12.016,2.798,7.000,19.000,0.957,0.010,0.932,0.975
4,26746.529,11.469,2.931,7.000,21.000,0.959,0.011,0.924,0.975
5,15474.300,23.273,12.721,11.000,120.000,0.967,0.018,0.831,0.985
6,10371.611,26.445,19.845,11.000,200.000,0.963,0.028,0.719,0.985
7,86567.681,2560.000,0.000,2560.000,2560.000,0.000,0.000,0.000,0.000
8,18418.382,23.930,13.344,12.000,121.000,0.966,0.019,0.830,0.983
9,93556.304,611.969,111.246,81.000,640.000,0.046,0.180,0.000,0.886
10,105756.146,640.000,0.000,640.000,640.000,0.000,0.000,0.000,0.000
11,1017.030,201.469,334.276,47.000,2560.000,0.928,0.129,0.000,0.983
12,1676.272,405.500,723.202,41.000,2560.000,0.849,0.280,0.000,0.986
13,12196.401,2560.000,0.000,2560.000,2560.000,0.000,0.000,0.000,0.000
14,10561.869,2414.781,563.731,45.000,2560.000,0.057,0.222,0.000,0.984
15,9625.898,2545.734,160.765,734.000,2560.000,0.006,0.065,0.000,0.742
16,551.863,139.391,257.733,27.000,2478.000,0.951,0.091,0.129,0.991
17,2099.317,509.930,859.643,38.000,2560.000,0.807,0.336,0.000,0.987
